Team,ALG,ARG,AUS,AUT,BEL,BIH,BRA,CAN,CIV,COD,COL,CPV,CRO,CUW,CZE,ECU,EGY,ENG,ESP,FRA,GER,GHA,HAI,IRN,IRQ,JOR,JPN,KOR,KSA,MAR,MEX,NED,NOR,NZL,PAN,PAR,POR,QAT,RSA,SCO,SEN,SUI,SWE,TUN,TUR,URU,USA,UZB
IRN,1-0-1,0-0-1,0-0-0,0-0-1,0-0-0,5-1-1,0-0-1,0-0-1,0-0-0,0-0-0,0-0-0,0-1-0,0-1-0,0-0-0,0-0-0,0-0-1,0-1-0,0-0-1,0-0-1,0-0-0,0-0-1,0-0-0,0-0-0,-,12-4-3,6-3-4,2-2-2,7-7-5,1-3-1,1-1-0,0-0-3,0-0-0,0-0-0,1-0-0,2-0-0,0-1-0,0-1-1,12-4-4,0-0-0,0-0-0,0-2-0,0-0-0,0-0-1,0-1-2,0-0-1,1-1-0,0-1-1,9-6-1
IRQ,0-0-1,0-0-1,2-1-6,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-0,2-0-0,0-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-1-0,0-1-1,0-0-0,0-0-1,0-0-0,0-0-0,0-0-0,0-0-0,3-4-12,-,10-9-9,1-1-7,0-3-7,9-4-8,0-0-0,0-0-1,0-0-0,0-0-0,0-1-0,0-0-0,0-0-0,0-0-0,7-5-9,0-1-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-2,0-0-0,0-0-1,0-0-0,3-3-5
JOR,0-1-0,0-0-0,3-0-5,0-0-0,0-0-0,0-1-1,0-0-0,0-0-0,0-0-1,0-0-0,0-0-1,0-0-0,0-0-1,0-0-0,0-0-0,1-0-0,2-0-1,0-0-0,0-0-1,0-0-0,0-0-0,0-0-0,0-0-1,4-3-6,9-9-10,-,1-2-3,1-4-4,6-2-4,0-0-2,0-0-0,0-0-0,0-1-1,1-0-1,0-0-0,0-0-1,0-0-0,3-1-6,0-0-0,0-0-0,0-0-0,0-0-0,0-1-0,0-1-1,0-0-0,0-1-1,0-0-0,2-6-7
JPN,0-0-0,1-0-3,8-6-3,0-1-0,2-1-2,1-1-1,1-2-6,3-0-1,2-0-2,0-0-0,1-1-4,0-0-0,0-2-0,0-0-0,1-1-0,1-2-0,1-0-0,1-1-1,1-0-1,1-1-3,2-1-1,4-0-2,0-1-0,2-2-2,7-1-1,3-2-1,-,6-7-6,8-1-4,0-0-0,0-1-4,0-1-2,0-0-1,3-0-0,2-0-0,5-4-0,0-0-0,2-3-1,0-1-0,2-1-0,0-1-2,1-0-1,0-1-0,3-0-1,1-0-1,1-3-3,1-0-2,4-2-1
KOR,0-0-1,0-0-2,6-3-2,0-0-1,0-0-1,1-0-1,0-0-6,1-1-1,1-0-1,0-0-0,2-2-1,0-0-0,2-1-2,0-0-0,1-0-1,1-0-0,3-0-1,0-1-0,0-1-3,0-1-2,2-0-1,2-0-4,1-0-0,5-7-7,7-3-0,4-4-1,6-7-6,-,3-4-3,0-1-1,2-2-3,0-0-1,0-1-1,2-1-0,0-1-0,3-4-0,2-0-0,4-0-2,0-0-0,1-0-0,1-1-2,1-0-1,0-2-1,1-1-1,1-2-2,1-1-6,2-1-2,9-4-0
KSA,1-0-1,1-1-0,1-3-5,0-0-0,0-0-2,0-0-0,0-0-2,0-0-0,1-0-0,1-0-0,0-0-1,0-0-0,0-0-1,0-0-0,0-1-1,0-1-0,1-0-2,0-0-0,0-0-3,0-0-0,0-0-2,1-1-2,1-0-0,1-3-1,8-4-9,4-2-6,4-1-8,3-4-3,-,1-0-2,0-0-2,0-0-0,0-0-0,0-0-1,0-1-0,0-2-0,0-0-2,3-6-5,1-0-0,0-0-0,1-0-0,0-0-0,0-1-0,1-1-0,0-0-1,1-1-1,0-1-1,7-1-3
MAR,4-1-1,0-0-2,0-0-0,0-0-0,2-0-0,0-0-0,1-0-0,2-0-0,3-4-3,2-3-1,0-0-1,2-2-0,0-1-1,0-0-0,0-1-0,0-1-0,1-2-2,0-0-0,0-2-0,0-1-2,0-0-0,2-1-2,0-0-0,0-1-1,0-0-0,2-0-0,0-0-0,1-1-0,2-0-1,-,0-0-0,0-0-1,0-0-0,0-0-0,0-0-0,1-1-0,1-0-1,0-1-0,2-3-3,0-0-0,5-1-2,1-0-0,0-0-0,5-5-2,0-0-0,0-0-1,1-0-1,1-0-0
MEX,0-1-0,1-3-10,0-1-1,0-0-0,0-2-0,3-0-1,6-3-7,8-4-2,1-0-0,1-0-0,2-2-9,0-0-0,2-0-2,1-0-0,0-0-1,10-5-3,0-0-0,0-0-2,0-1-1,1-0-2,1-1-2,3-0-0,3-0-0,3-0-0,1-0-0,0-0-0,4-1-0,3-2-2,2-0-0,0-0-0,-,2-0-3,1-0-0,7-0-0,19-5-2,7-2-3,0-2-3,0-0-1,1-1-1,1-0-0,1-0-0,0-0-1,0-1-3,0-0-0,1-0-0,4-2-6,11-7-18,0-1-0
NED,0-0-0,1-3-0,1-2-1,6-0-1,2-4-2,2-2-0,2-1-0,1-0-0,2-0-0,0-0-0,0-1-0,0-0-0,1-0-1,0-0-0,3-1-5,1-3-0,0-0-0,4-4-2,4-3-1,3-2-7,4-6-5,2-0-0,0-0-0,0-0-0,0-0-0,0-0-0,2-1-0,1-0-0,0-0-0,1-0-0,3-0-2,-,5-1-0,0-0-0,0-0-0,0-1-0,1-3-5,1-0-0,0-0-0,5-2-1,1-0-0,0-1-1,3-3-1,0-1-0,5-2-2,1-1-0,4-0-1,0-0-0
NOR,0-0-0,1-0-0,1-1-0,2-1-2,0-1-3,2-0-2,0-1-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-1-3,0-0-0,1-2-4,0-0-0,0-0-0,0-0-2,1-1-5,1-0-1,1-0-2,0-0-0,0-0-0,0-0-0,0-0-0,1-1-0,1-0-0,1-1-0,0-0-0,0-0-0,0-0-1,0-1-5,-,0-1-0,1-0-0,0-1-0,1-0-3,0-0-0,2-0-1,2-3-3,0-0-1,1-3-2,4-6-1,0-1-0,1-3-2,0-1-0,0-0-1,0-0-0
NZL,0-0-0,0-0-0,1-0-12,0-0-0,0-0-0,0-0-0,0-0-1,0-0-1,1-0-0,0-1-0,0-0-2,0-0-0,0-0-0,1-0-0,0-0-0,0-0-1,0-0-1,0-0-0,0-0-1,0-0-1,0-0-0,0-0-0,0-0-0,0-0-1,0-1-0,1-0-1,0-0-3,0-1-2,1-0-0,0-0-0,0-0-7,0-0-0,0-1-0,-,0-0-0,0-1-1,0-0-1,0-0-0,0-1-1,0-1-0,0-0-0,0-0-0,0-0-1,0-1-0,0-0-0,0-0-0,0-1-1,0-0-1
PAN,0-0-0,0-0-3,0-0-0,0-0-0,0-0-1,0-0-0,0-1-2,2-5-5,0-0-0,0-0-0,2-0-3,0-0-0,0-0-0,2-1-0,0-0-0,0-2-5,0-0-0,0-0-1,0-0-1,0-0-0,0-0-0,0-0-0,3-5-1,0-0-2,0-0-0,0-0-0,0-0-2,0-1-0,0-1-0,0-0-0,2-5-19,0-0-0,0-0-1,0-0-0,-,0-0-4,0-0-1,1-1-1,1-2-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-1,0-0-0,0-0-3,4-7-17,0-0-0
PAR,0-0-0,4-9-7,0-3-2,0-1-0,0-0-0,0-0-0,5-6-9,0-0-0,0-2-0,0-0-0,4-4-13,0-0-0,0-0-0,0-0-0,0-0-0,6-5-5,0-0-0,0-0-2,0-1-2,0-2-1,0-1-1,0-0-0,0-0-0,0-1-0,0-0-0,1-0-0,0-4-5,0-4-3,0-2-0,0-1-1,3-2-7,0-1-0,0-1-0,1-1-0,4-0-0,-,0-1-0,0-1-1,0-3-1,0-0-0,0-0-0,0-0-0,1-0-1,0-0-0,0-0-0,5-5-8,2-0-4,0-0-0
POR,1-0-0,1-0-1,0-0-0,0-1-0,3-2-1,5-1-0,2-2-2,1-0-0,0-1-0,0-0-0,0-0-0,1-1-1,6-2-1,0-0-0,5-0-0,0-0-1,2-0-0,1-4-1,2-7-3,1-3-6,2-0-5,2-0-0,0-0-0,1-1-0,0-0-0,0-0-0,0-0-0,0-0-2,2-0-0,1-0-1,3-2-0,5-3-1,3-0-1,1-0-0,1-0-0,0-1-0,-,2-0-0,1-0-0,3-1-0,0-0-0,4-0-3,6-3-1,0-2-0,4-0-1,1-0-1,1-2-1,0-0-0
QAT,1-0-3,0-0-2,1-1-3,0-0-0,0-0-1,1-1-0,0-0-1,0-0-1,0-0-1,0-1-0,0-0-1,0-0-0,0-0-1,0-0-1,0-0-1,1-0-1,2-2-3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-2,4-4-12,9-5-7,6-1-3,1-3-2,2-0-4,5-6-3,0-1-0,1-0-0,0-0-1,0-0-0,0-0-0,1-1-1,1-1-0,0-0-2,-,0-0-0,0-0-1,0-0-1,1-0-0,0-1-1,0-0-1,0-0-1,0-0-0,0-0-1,4-3-10
RSA,0-3-1,0-0-0,0-3-1,0-0-0,0-0-0,0-0-0,0-0-3,1-0-0,2-3-1,2-2-1,1-0-0,2-2-2,0-0-0,0-0-0,0-0-0,0-1-0,5-1-3,0-0-1,1-0-3,1-1-1,0-0-2,4-4-5,0-0-0,0-0-0,0-1-0,0-0-0,0-1-0,0-0-0,0-0-1,3-3-2,1-1-1,0-0-0,1-0-2,1-1-0,0-2-1,1-3-0,0-0-1,0-0-0,-,1-0-1,1-5-4,0-0-0,0-0-1,1-2-3,1-0-0,0-1-1,0-0-3,0-0-0
SCO,0-0-0,0-0-1,1-0-1,2-3-1,0-1-6,0-0-0,0-0-1,1-1-0,0-0-1,0-0-0,0-0-0,0-0-0,3-3-2,0-0-0,4-1-3,0-0-0,0-0-0,0-2-4,1-1-3,2-0-4,0-1-4,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-1-2,0-0-1,0-0-0,0-0-0,0-0-1,1-2-5,3-3-2,0-1-0,0-0-0,0-0-0,0-1-3,1-0-0,1-0-1,-,0-0-0,0-1-1,0-0-2,0-0-0,0-0-1,0-0-0,0-2-1,0-0-0
SEN,4-2-6,0-0-0,0-0-0,0-0-0,0-0-0,0-1-0,1-1-1,0-0-0,2-3-4,5-3-0,0-1-2,7-1-1,0-0-1,0-0-0,0-0-0,3-0-0,5-2-6,1-0-1,0-0-0,1-0-0,0-0-0,2-2-1,0-0-0,0-2-0,0-0-0,0-0-0,2-1-0,2-1-1,0-0-1,2-1-5,0-0-1,0-0-1,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-0-0,4-5-1,0-0-0,-,0-0-0,1-0-0,2-3-4,0-0-1,0-1-0,0-0-0,0-1-0
SUI,0-0-0,0-1-2,0-1-0,5-1-1,1-0-3,0-0-1,1-1-2,0-0-1,0-1-0,0-0-0,0-0-1,0-0-0,1-2-1,0-0-0,1-0-2,1-0-0,0-0-0,0-3-7,2-3-4,0-5-3,1-4-4,0-0-1,0-0-0,0-0-0,0-0-0,0-0-0,1-0-1,1-0-1,0-0-0,0-0-1,1-0-0,1-1-0,2-3-1,0-0-0,1-0-0,0-0-0,3-0-4,0-0-1,0-0-0,1-1-0,0-0-0,-,2-1-2,1-1-0,2-0-2,0-0-1,2-1-1,0-0-0
SWE,2-0-0,0-1-1,0-0-0,2-2-5,0-1-4,1-0-0,0-0-2,0-0-0,1-0-2,0-0-0,0-0-0,0-0-0,2-0-4,0-0-0,2-2-0,0-1-1,0-0-2,2-3-3,2-3-4,2-1-5,0-2-4,0-0-0,0-0-0,1-0-0,0-0-0,0-1-0,0-1-0,1-2-0,0-1-0,0-0-0,3-1-0,1-3-3,1-6-4,1-0-0,0-0-0,1-0-1,1-3-6,1-1-0,1-0-0,2-0-0,0-0-1,2-1-2,-,0-0-1,2-3-3,0-0-0,1-0-2,1-0-0
TUN,2-3-4,0-0-1,1-0-1,0-1-0,0-1-2,0-0-0,0-1-1,0-1-0,2-3-4,5-3-0,0-1-0,3-1-0,1-1-0,0-0-0,0-0-0,0-0-0,8-1-3,0-0-1,0-0-2,1-2-1,0-0-1,1-3-3,1-0-0,2-1-0,2-0-0,1-1-0,1-0-3,1-1-1,0-1-1,2-5-5,0-0-0,0-1-0,0-1-0,0-1-0,1-0-0,0-0-0,0-2-0,1-0-0,3-2-1,0-0-0,4-3-2,0-1-1,1-0-0,-,0-1-0,0-1-0,0-1-0,0-0-0
TUR,0-0-0,0-0-0,2-0-0,6-1-2,3-3-1,2-2-2,0-2-3,0-0-0,0-1-0,0-0-0,1-0-0,0-0-0,2-5-3,0-0-0,6-1-3,0-0-1,0-0-0,0-1-2,0-1-4,1-1-3,2-1-3,0-2-0,0-0-0,1-0-0,0-0-0,0-0-0,1-0-1,2-2-1,1-0-0,0-0-0,0-0-1,2-2-5,2-3-1,0-0-0,0-0-0,0-0-0,1-0-4,1-0-0,0-0-1,1-0-0,1-0-0,2-0-2,3-3-2,0-1-0,-,0-0-1,2-0-2,1-0-0
URU,0-1-1,3-5-13,3-0-2,0-1-1,0-0-0,0-0-0,2-8-7,1-1-0,0-0-1,0-0-0,9-6-5,0-0-0,0-0-0,0-0-0,1-0-0,7-5-4,2-0-0,1-1-1,0-0-3,1-4-2,0-0-2,1-1-0,0-0-0,0-1-1,1-0-0,1-1-0,3-3-1,6-1-1,1-1-1,1-0-0,6-2-4,0-1-1,0-1-0,0-0-0,3-0-0,8-5-5,1-0-1,0-0-0,1-1-0,0-0-0,0-1-0,1-0-0,0-0-0,0-1-0,1-0-0,-,1-2-2,2-0-0
USA,1-0-0,0-2-3,2-0-0,0-0-1,0-0-4,2-1-0,0-1-10,7-6-4,0-0-0,0-0-0,1-3-7,0-0-0,0-0-0,1-0-0,1-0-2,4-2-1,1-0-0,0-2-3,1-0-2,0-1-1,2-0-5,3-0-2,4-2-0,1-1-0,0-0-0,0-0-0,2-0-1,2-1-2,1-1-0,1-0-1,18-7-11,1-0-4,1-0-0,1-1-0,17-7-4,4-0-2,1-2-1,1-0-0,3-0-0,1-2-0,0-0-0,1-1-2,2-0-1,0-1-0,2-0-2,2-2-1,-,1-0-0
UZB,0-0-0,0-0-0,0-2-3,0-0-0,0-0-0,1-1-0,0-0-0,0-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-6-9,5-3-3,7-6-2,1-2-4,0-4-9,3-1-7,0-0-1,0-1-0,0-0-0,0-0-0,1-0-0,0-0-0,0-0-0,0-0-0,10-3-4,0-0-0,0-0-0,0-1-0,0-0-0,0-0-1,0-0-0,0-0-1,0-0-2,0-0-1,-
